City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.5322,20.0403,65.19,91,2,4.61,ZA,1707714216
1,codrington,-38.2667,141.9667,72.66,58,0,11.48,AU,1707714216
2,jamestown,42.097,-79.2353,32.02,90,100,5.01,US,1707714053
3,yellowknife,62.456,-114.3525,5.56,96,20,5.75,CA,1707714073
4,olonkinbyen,70.9221,-8.7187,28.0,64,100,10.07,SJ,1707714216
5,grytviken,-54.2811,-36.5092,40.89,74,2,8.97,GS,1707714217
6,avarua,-21.2078,-159.775,80.65,69,20,12.66,CK,1707714076
7,carnarvon,-24.8667,113.6333,88.81,51,0,18.23,AU,1707714019
8,puerto natales,-51.7236,-72.4875,43.54,73,72,11.45,CL,1707714154
9,vilyuysk,63.7553,121.6247,-17.0,96,100,11.01,RU,1707714217
10,mount pearl,47.5166,-52.7813,34.14,91,100,10.36,CA,1707714217
11,tolanaro,-25.0319,46.9987,80.67,89,40,13.8,MG,1707714218
12,tahla,34.0485,-4.428,56.25,89,100,3.98,MA,1707714218
13,vilyuchinsk,52.9306,158.4028,19.67,71,6,5.01,RU,1707714218
14,mallow,52.1333,-8.6333,36.63,88,6,6.31,IE,1707714218
15,tura,25.5198,90.2201,78.75,24,1,3.89,IN,1707714218
16,bilibino,68.0546,166.4372,-19.55,96,65,2.15,RU,1707714219
17,port mathurin,-19.6833,63.4167,81.5,86,84,19.48,MU,1707714064
18,christchurch,-43.5333,172.6333,69.42,58,75,11.5,NZ,1707713962
19,kholmsk,47.0511,142.0569,27.41,70,98,14.58,RU,1707714031
20,la passe,45.5549,-0.8967,45.99,85,100,14.23,FR,1707714219
21,juneau,58.3019,-134.4197,33.42,100,100,5.88,US,1707714077
22,okap,19.7578,-72.2042,73.33,74,11,10.96,HT,1707714220
23,punta arenas,-53.15,-70.9167,44.71,65,0,19.57,CL,1707714220
24,prado,-17.3411,-39.2208,75.96,90,15,3.2,BR,1707714038
25,constantia,44.1833,28.65,54.7,83,100,22.01,RO,1707714220
26,port elizabeth,-33.918,25.5701,67.32,85,0,6.91,ZA,1707714221
27,sur,22.5667,59.5289,74.19,75,61,17.22,OM,1707714221
28,port-aux-francais,-49.35,70.2167,43.03,73,7,21.7,TF,1707714221
29,lihue,21.9789,-159.3672,71.37,89,32,2.71,US,1707714221
30,muisne,0.6,-80.0333,80.44,83,73,5.32,EC,1707714221
31,agat village,13.3886,144.6585,86.11,70,56,4.0,GU,1707714221
32,isafjordur,66.0755,-23.124,32.43,92,100,31.45,IS,1707714222
33,shimokizukuri,40.8061,140.3861,40.95,66,80,21.34,JP,1707714222
34,kuressaare,58.2481,22.5039,26.55,97,100,12.66,EE,1707714222
35,waliso,8.5333,37.9833,64.26,69,96,0.76,ET,1707714222
36,coari,-4.085,-63.1414,74.93,98,99,3.49,BR,1707714223
37,aykhal,66.0,111.5,-23.93,98,100,8.75,RU,1707714223
38,saldanha,-33.0117,17.9442,64.45,90,0,6.08,ZA,1707714223
39,georgetown,5.4112,100.3354,91.35,43,20,18.41,MY,1707714196
40,papatowai,-46.5619,169.4708,63.5,56,87,9.26,NZ,1707714223
41,iqaluit,63.7506,-68.5145,-20.31,68,40,15.01,CA,1707714224
42,adamstown,-25.066,-130.1015,76.59,91,57,18.77,PN,1707714224
43,udachny,66.4167,112.4,-22.65,95,100,6.55,RU,1707714224
44,blackmans bay,-43.0167,147.3167,71.73,63,60,1.99,AU,1707714224
45,blackwater,-23.5833,148.8833,89.89,39,76,14.79,AU,1707714224
46,zaozersk,69.4005,32.4476,-8.16,98,72,4.79,RU,1707714225
47,waitangi,-43.9535,-176.5597,57.81,81,85,4.0,NZ,1707714225
48,bethel,41.3712,-73.414,37.94,78,0,0.0,US,1707714226
49,gadzhiyevo,69.2551,33.3362,6.31,95,100,8.75,RU,1707714226
50,edinburgh of the seven seas,-37.0676,-12.3116,62.58,73,20,20.71,SH,1707714227
51,ancud,-41.8697,-73.8203,47.73,80,22,6.49,CL,1707714227
52,chodziez,52.995,16.9198,45.01,98,100,9.66,PL,1707713993
53,malango,-2.9627,119.9001,78.48,90,98,3.04,ID,1707714227
54,polyarnyy,69.1989,33.4478,-12.23,100,94,5.82,RU,1707714227
